"Name","Source","Page","Rarity","Type","Attunement","Damage","Properties","Mastery","Weight","Value","Text"
"Double-Barrel Shotgun","GC:VSS'24","undefined","none","Weapon, Simple Weapon, Ranged Weapon, Firearm","","2d6 Piercing","Ammunition (Range 20/60 ft.; Shell), Firearm, Industrial Era, Recoil, Reload (2 shots), Two‑Handed","Mastery: Scatter","8 lb.","175 GP","A classic design with two loaded barrels, the Double-Barrel Shotgun trades ammo capacity and range for reliability and firepower. Range. A Range weapon has a range in parentheses after the Ammunition or Thrown property. The range lists two numbers. The first is the weapon's normal range in feet, and the second is the weapon's long range. When attacking a target beyond normal range, you have Disadvantage on the attack roll. You can't attack a target beyond the long range. Ammunition. You can use a weapon that has the Ammunition property to make a ranged attack only if you have ammunition to fire from it. The type of ammunition required is specified with the weapon's range. Each attack expends one piece of ammunition. Drawing the ammunition is part of the attack (you need a free hand to load a one-handed weapon). After a fight, you can spend 1 minute to recover half the ammunition (round down) you used in the fight; the rest is lost. Firearm. You don't add your ability modifier to the weapon's damage, unless otherwise stated. Firearm ammunition is destroyed upon use. Recoil. After you make an attack with this weapon, you can't make ranged attacks beyond the weapon's normal range until the end of the current turn. Reload. You can make a limited number of shots with a Reload weapon. You must then reload the weapon as an action or a Bonus Action. Two-Handed. A Two-Handed weapon requires two hands when you attack with it. Mastery: Scatter. Being within 5 feet of an enemy doesn't impose Disadvantage on your ranged attack rolls with this weapon."
"Double-Bladed Scimitar","ERLW","21","none","Weapon, Martial Weapon, Melee Weapon","","2d4 Slashing","two‑handed, special","","6 lb.","100 GP","Special. If you attack with a double-bladed scimitar as part of the Attack action on your turn, you can use a bonus action immediately after to make a melee attack with it. This attack deals 1d4 slashing damage on a hit, instead of 2d4. Two-Handed. This weapon requires two hands to use. This property is relevant only when you attack with the weapon, not when you simply hold it."
"Draft Horse","PHB'14","157","none","Mount","","Speed: 40, Carrying Capacity: 540 lb.","","","","50 GP",""
"Draft Horse","PHB'24","229","none","Mount","","Speed: 40, Carrying Capacity: 540 lb.","","","","50 GP",""
"Dragon","WDH","169","none","Treasure (Coinage)","","","","","","1 GP","Gold coin, half again as large as a nib (1 dragon = 100 nibs)"
"Dragon Pistol","GH:PG'24","129","none","Weapon, Advanced Weapon, Ranged Weapon","","2d4 Piercing","Ammunition (Range 20 ft.; Dragon Shot), Blackpowder, Loading","Mastery: Scatter (5 ft.)","4 lb.","350 GP","Range. A Range weapon has a range in parentheses after the Ammunition or Thrown property. The range lists two numbers. The first is the weapon's normal range in feet, and the second is the weapon's long range. When attacking a target beyond normal range, you have Disadvantage on the attack roll. You can't attack a target beyond the long range. Ammunition. You can use a weapon that has the Ammunition property to make a ranged attack only if you have ammunition to fire from it. The type of ammunition required is specified with the weapon's range. Each attack expends one piece of ammunition. Drawing the ammunition is part of the attack (you need a free hand to load a one-handed weapon). After a fight, you can spend 1 minute to recover half the ammunition (round down) you used in the fight; the rest is lost. Blackpowder. Blackpowder weapons fire projectiles with ear-splitting noise, shredding armor with deadly force. When fired, Blackpowder weapons emit a deafening crack audible 300 feet away. A Blackpowder weapon exposed to heavy rain, submerged, or similarly drenched in water, can't fire until dried for 1 hour. These weapons use paper cartridge bullets as ammunition. Loading. You can fire only one piece of ammunition from a Loading weapon when you use an action, a Bonus Action, or a Reaction to fire it, regardless of the number of attacks you can normally make. Mastery: Scatter. Scatter weapons can devastate multiple enemies at once. When you take the Attack action and hit a creature with a Scatter weapon, measure the weapon's scatter range from the target's space (or one square the creature occupies if it is Large or larger). Creatures other than the original target that fall within the weapon's scatter range take damage equal to your 1 + your Dexterity modifier (minimum 2). This damage is of the same type you dealt to the original target."
"Dragon Rifle","GH:PG'24","129","none","Weapon, Advanced Weapon, Ranged Weapon","","2d6 Piercing","Ammunition (Range 30 ft.; Dragon Shot), Blackpowder, Loading","Mastery: Scatter (10 ft.)","4 lb.","750 GP","Range. A Range weapon has a range in parentheses after the Ammunition or Thrown property. The range lists two numbers. The first is the weapon's normal range in feet, and the second is the weapon's long range. When attacking a target beyond normal range, you have Disadvantage on the attack roll. You can't attack a target beyond the long range. Ammunition. You can use a weapon that has the Ammunition property to make a ranged attack only if you have ammunition to fire from it. The type of ammunition required is specified with the weapon's range. Each attack expends one piece of ammunition. Drawing the ammunition is part of the attack (you need a free hand to load a one-handed weapon). After a fight, you can spend 1 minute to recover half the ammunition (round down) you used in the fight; the rest is lost. Blackpowder. Blackpowder weapons fire projectiles with ear-splitting noise, shredding armor with deadly force. When fired, Blackpowder weapons emit a deafening crack audible 300 feet away. A Blackpowder weapon exposed to heavy rain, submerged, or similarly drenched in water, can't fire until dried for 1 hour. These weapons use paper cartridge bullets as ammunition. Loading. You can fire only one piece of ammunition from a Loading weapon when you use an action, a Bonus Action, or a Reaction to fire it, regardless of the number of attacks you can normally make. Mastery: Scatter. Scatter weapons can devastate multiple enemies at once. When you take the Attack action and hit a creature with a Scatter weapon, measure the weapon's scatter range from the target's space (or one square the creature occupies if it is Large or larger). Creatures other than the original target that fall within the weapon's scatter range take damage equal to your 1 + your Dexterity modifier (minimum 2). This damage is of the same type you dealt to the original target."
"Dragon Shot","GH:PG'24","129","none","Ammunition","","","","","1.6 oz.","2 SP, 5 CP",""
"Dragon's Blood","ERLW","244","none","Other","","","","","","","Introduced into Sharn by Daask, dragon's blood is a potent and highly addictive stimulant. In addition to inducing euphoria, it can enhance spellcasting ability or even temporarily imbue a user with the ability to cast sorcerer spells. The drug's effects are potentially dangerous and always unpredictable. This isn't something a player character should want to use; adventurers are more likely to interfere with Daask smugglers or deal with an addict who accidentally casts a fireball in a crowded street. The specific effects of dragon's blood are up to you, but you can take inspiration from the Wild Magic Surge table in the Player's Handbook."
"Dragonchess Set","PHB'14","154","none","Gaming Set","","","","","½ lb.","1 GP","If you are proficient with a gaming set, you can add your proficiency bonus to ability checks you make to play a game with that set. Each type of gaming set requires a separate proficiency.See the Tool Proficiencies entry for more information.Proficiency with a gaming set applies to one type of game, such as Three-Dragon Ante or games of chance that use dice. Components. A gaming set has all the pieces needed to play a specific game or type of game, such as a complete deck of cards or a board and tokens. History. Your mastery of a game includes knowledge of its history, as well as of important events it was connected to or prominent historical figures involved with it. Insight. Playing games with someone is a good way to gain understanding of their personality, granting you a better ability to discern their lies from their truths and read their mood. Sleight of Hand. Sleight of Hand is a useful skill for cheating at a game, as it allows you to swap pieces, palm cards, or alter a die roll. Alternatively, engrossing a target in a game by manipulating the components with dexterous movements is a great distraction for a pickpocketing attempt.Gaming SetActivityDCCatch a player cheating15Gain insight into an opponent's personality15"
